aspect_code,spend_implication
VEN CON JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN TRI JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN SEX JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN SQR JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN OPP JUP,Pleasure + expansion. Supportive aspects: generous spending; hard aspects: overindulgence risk.
VEN CON SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN TRI SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN SEX SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN SQR SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN OPP SAT,Discipline + restraint. Supportive aspects: thrift and value focus; hard aspects: scarcity/withholding or compensatory spend.
VEN CON NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN TRI NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN SEX NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN SQR NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN OPP NEP,"Idealism + glamour. Supportive aspects: refined taste; hard aspects: impulse/luxury bias, confusion, buyer’s remorse risk."
VEN CON URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN TRI URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN SEX URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN SQR URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN OPP URA,"Novelty seeking. Supportive aspects: smart upgrades/refresh; hard aspects: sudden purchases, inconsistent spending patterns."
VEN CON PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
VEN TRI PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
VEN SEX PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
VEN SQR PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
VEN OPP PLU,Intensity/compulsion themes. Supportive aspects: strategic high-value choices; hard aspects: all‑or‑nothing spending or obsession with luxury.
JUP CON SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
JUP TRI SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
JUP SEX SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
JUP SQR SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
JUP OPP SAT,Growth vs discipline. Supportive aspects: balanced budgeting and long-term planning; hard aspects: boom–bust cycles.
MOO CON VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MOO TRI VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MOO SEX VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MOO SQR VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MOO OPP VEN,Emotional comfort spending. Supportive aspects: steady preferences; hard aspects: mood-driven purchases and regret.
MER CON SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MER TRI SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MER SEX SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MER SQR SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MER OPP SAT,Research + caution. Supportive aspects: price comparison and contract discipline; hard aspects: decision paralysis or anxiety-driven choices.
MAR CON JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
MAR TRI JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
MAR SEX JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
MAR SQR JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
MAR OPP JUP,Action + expansion. Supportive aspects: decisive buying when planned; hard aspects: risk-taking and impulsive big spends.
R2 CON VEN,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 TRI VEN,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SEX VEN,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SQR VEN,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 OPP VEN,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 CON JUP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 TRI JUP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SEX JUP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SQR JUP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 OPP JUP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 CON SAT,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 TRI SAT,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SEX SAT,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SQR SAT,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 OPP SAT,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 CON NEP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 TRI NEP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SEX NEP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SQR NEP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 OPP NEP,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 CON URA,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 TRI URA,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SEX URA,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SQR URA,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 OPP URA,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 CON PLU,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 TRI PLU,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SEX PLU,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 SQR PLU,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R2 OPP PLU,Direct money-style indicator (2nd-house ruler). Supportive aspects: stable money habits; hard aspects: volatility/risk based on target planet theme.
R8 CON VEN,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 TRI VEN,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SEX VEN,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SQR VEN,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 OPP VEN,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 CON JUP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 TRI JUP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SEX JUP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SQR JUP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 OPP JUP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 CON SAT,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 TRI SAT,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SEX SAT,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SQR SAT,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 OPP SAT,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 CON NEP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 TRI NEP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SEX NEP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SQR NEP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 OPP NEP,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 CON URA,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 TRI URA,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SEX URA,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SQR URA,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 OPP URA,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 CON PLU,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 TRI PLU,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SEX PLU,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 SQR PLU,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R8 OPP PLU,Credit/debt/shared-money indicator (8th-house ruler). Supportive aspects: responsible borrowing/sharing; hard aspects: debt stress or poor terms based on target planet theme.
R2 CON R10,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 TRI R10,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 SEX R10,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 SQR R10,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 OPP R10,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 CON R11,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 TRI R11,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 SEX R11,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 SQR R11,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
R2 OPP R11,Income + network linkage. Supportive aspects: earnings growth and sustainable spending; hard aspects: status-driven pressure or unstable cashflow.
VEN CON R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN TRI R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN SEX R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN SQR R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN OPP R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN CON R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN TRI R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN SEX R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN SQR R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
VEN OPP R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP CON R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP TRI R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP SEX R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP SQR R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP OPP R10,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP CON R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP TRI R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP SEX R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP SQR R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
JUP OPP R11,Career/network pull on spending. Supportive aspects: aligned income and lifestyle; hard aspects: overspending for image or social expectations.
